name,count
you,10
in,8
on,6
love,4
unreleased,4
ballad,3
don,3
go,3
like,3
to,3
with,3
walk,2
it,2
mine,2
keep,2
goin,2
ll,2
baby,2
if,2
is,2
fool,2
ain,2
take,2
that,2
neighborhood,2
bully,2
corrina,2
tweedle,2
all,2
blues,2
your,2
new,2
plain,2
for,2
soon,2
after,2
midnight,2
times,2
lady,2
not,2
believe,2
are,2
only,2
hobo,2
greatest,2
tonight,2
hits,2
ii,2
want,2
lay,2
jack,2
highway,2
me,1
roe,1
live,1
side,1
our,1
god,1
below,1
valley,1
coffee,1
cup,1
more,1
one,1
revisited,1
dreamed,1
nowhere,1
version,1
fast,1
young,1
forever,1
sing,1
angels,1
herald,1
hark,1
harding,1
wesley,1
john,1
immigrant,1
poor,1
pity,1
saw,1
fate,1
twist,1
simple,1
hearts,1
st,1
rosemary,1
lily,1
arms,1
empty,1
moon,1
full,1
down,1
watered,1
moonshiner,1
augustine,1
sweetheart,1
desolation,1
wind,1
blowin,1
blue,1
up,1
tangled,1
homesick,1
subterranean,1
row,1
where,1
journey,1
through,1
dark,1
changin,1
heat,1
they,1
storm,1
from,1
shelter,1
guru,1
working,1
met,1
have,1
never,1
we,1
acts,1
she,1
vain,1
yours,1
emotionally,1
mind,1
out,1
1913,1
shore,1
river,1
red,1
round,1
ramblin,1
there,1
changing,1
song,1
wedding,1
lowlands,1
guards,1
eyed,1
sad,1
zero,1
minus,1
bethlehem,1
town,1
little,1
woman,1
big,1
just,1
yellow,1
taxi,1
dignity,1
mama,1
right,1
line,1
friend,1
oh,1
mercy,1
delia,1
hallelujah,1
prayer,1
teenage,1
boots,1
soldier,1
mary,1
saved,1
spanish,1
outlaw,1
ramona,1
day,1
leather,1
heaven,1
around,1
dee,1
gogh,1
van,1
vincent,1
fire,1
ring,1
dum,1
romance,1
world,1
top,1
sittin,1
hootenanny,1
hall,1
carnegie,1
gal,1
sally,1
faded,1
durango,1
bob,1
delivered,1
was,1
nothing,1
massacre,1
righteous,1
man,1
no,1
dylan,1
co,1
mx,1
orleans,1
please,1
now,1
rag,1
gotta,1
froggie,1
portrait,1
self,1
went,1
hands,1
these,1
acapulco,1
courtin,1
hurricane,1
canadee,1
jones,1
jim,1
gone,1
been,1
katie,1
standing,1
dreamin,1
rambling,1
gambling,1
willie,1
leopard,1
skin,1
tune,1
huck,1
pill,1
burnin,1
something,1
bird,1
pretty,1
box,1
cuckoo,1
as,1
such,1
hat,1
cross,1
alternate,1
sign,1
york,1
jolene,1
fall,1
apart,1
hard,1
till,1
emmett,1
death,1
dam,1
coulee,1
grand,1
70099,1
61,1
time,1
